code,national_id,full_name,dob,gender
HS6A3-06,0792015000,Ngô Đức Hùng,2015-12-09,nam
HS6A3-07,0792015001,Phạm Ngọc Nhi,2015-12-04,nu
HS6A3-08,0792015002,Ngô Hữu Dũng,2015-10-14,nam
HS6A3-09,0792015003,Nguyễn Thị Hà,2015-04-08,nu
HS6A3-10,0792015004,Đỗ Thanh Hùng,2015-09-07,nam
HS6A3-11,0792015005,Dương Thanh Thảo,2015-04-15,nu
HS6A3-12,0792015006,Hồ Gia Quân,2015-01-25,nam
HS6A3-13,0792015007,Lý Thu Quỳnh,2015-07-11,nu
HS6A3-14,0792015008,Hoàng Minh Khang,2015-06-04,nam
HS6A3-15,0792015009,Trần Kim Hà,2015-06-28,nu
HS6A3-16,0792015010,Vũ Thanh Phúc,2015-01-24,nam
HS6A3-17,0792015011,Bùi Thanh Hà,2015-07-03,nu
HS6A3-18,0792015012,Đỗ Gia Đông,2015-11-20,nam
HS6A3-19,0792015013,Võ Hồng Trang,2015-04-23,nu
HS6A3-20,0792015014,Trần Văn Kiệt,2015-04-25,nam
HS6A3-21,0792015015,Hoàng Mai Diệp,2015-04-28,nu
HS6A3-22,0792015016,Trần Anh Phúc,2015-08-21,nam
HS6A3-23,0792015017,Phan Hồng Nhi,2015-06-12,nu
HS6A3-24,0792015018,Phạm Gia Trung,2015-11-21,nam
HS6A3-25,0792015019,Trần Bích My,2015-03-18,nu
HS6A3-26,0792015020,Dương Quốc Long,2015-08-13,nam
HS6A3-27,0792015021,Hoàng Thanh Trâm,2015-11-11,nu
HS6A3-28,0792015022,Phan Văn Khang,2015-01-26,nam
HS6A3-29,0792015023,Vũ Kim Nhung,2015-02-07,nu
HS6A3-30,0792015024,Võ Thanh Phong,2015-12-11,nam
HS6A3-31,0792015025,Phạm Lan Thảo,2015-11-15,nu
HS6A3-32,0792015026,Lê Gia Long,2015-04-24,nam
